21.0267	-0.3388
21.0242	-0.6772
21.0202	-1.0146
21.0149	-1.3508
21.0084	-1.6853
21.0010	-2.0179
20.9927	-2.3484
20.9839	-2.6766
20.9747	-3.0023
20.9651	-3.3254
20.9553	-3.6457
20.9454	-3.9632
20.9355	-4.2777
20.9257	-4.5890
20.9161	-4.8971
20.9068	-5.2019
20.8978	-5.5033
20.8894	-5.8012
20.8816	-6.0956
20.8746	-6.3864
20.8685	-6.6737
20.8635	-6.9575
20.8596	-7.2378
20.8572	-7.5148
20.8562	-7.7887
20.8570	-8.0595
20.8596	-8.3276
20.8643	-8.5933
20.8712	-8.8570
20.8805	-9.1192
20.8922	-9.3803
20.9066	-9.6411
20.9236	-9.9023
20.9434	-10.1647
20.9660	-10.4294
20.9913	-10.6975
21.0190	-10.9704
21.0489	-11.2495
21.0807	-11.5365
21.1135	-11.8334
21.1465	-12.1423
21.1785	-12.4656
21.2079	-12.8060
21.2323	-13.1664
21.2491	-13.5499
21.2546	-13.9600
21.2442	-14.4000
21.2119	-14.8732
21.1504	-15.3829
21.0508	-15.9314
20.9020	-16.5201
20.6910	-17.1485
20.4028	-17.8134
20.0207	-18.5080
19.5268	-19.2202
18.9041	-19.9320
18.1381	-20.6184
17.2195	-21.2471
16.1484	-21.7802
14.9364	-22.1768
13.6094	-22.3978
12.2065	-22.4117
10.7774	-22.2001
9.3762	-21.7616
8.0544	-21.1123
6.8543	-20.2830
5.8048	-19.3137
4.9203	-18.2480
4.2017	-17.1272
3.6396	-15.9868
3.2183	-14.8550
2.9186	-13.7519
2.7205	-12.6907
2.6052	-11.6790
2.5557	-10.7199
2.5573	-9.8137
2.5980	-8.9583
2.6678	-8.1508
2.7587	-7.3874
2.8644	-6.6641
2.9802	-5.9769
3.1022	-5.3221
3.2276	-4.6962
3.3543	-4.0958
3.4808	-3.5182
3.6059	-2.9609
3.7287	-2.4214
3.8489	-1.8979
3.9661	-1.3886
4.0800	-0.8921
4.1906	-0.4070
4.2979	0.0677
4.4020	0.5330
4.5030	0.9898
4.6011	1.4386
4.6963	1.8801
4.7890	2.3148
4.8791	2.7430
4.9671	3.1651
5.0529	3.5814
5.1368	3.9920
5.2189	4.3972
5.2995	4.7971
5.3785	5.1918
5.4563	5.5813
5.5328	5.9657
5.6082	6.3450
5.6827	6.7191
5.7563	7.0882
5.8290	7.4522
5.9011	7.8109
5.9724	8.1645
6.0431	8.5128
6.1132	8.8558
6.1828	9.1935
6.2519	9.5259
6.3205	9.8528
6.3887	10.1744
6.4564	10.4905
6.5238	10.8012
6.5909	11.1065
6.6578	11.4063
6.7246	11.7006
6.7914	11.9895
6.8584	12.2727
6.9255	12.5503
6.9929	12.8220
7.0606	13.0877
7.1286	13.3473
7.1968	13.6007
7.2652	13.8477
7.3336	14.0883
7.4021	14.3225
7.4704	14.5503
7.5385	14.7716
7.6063	14.9867
7.6738	15.1954
7.7410	15.3978
7.8077	15.5941
7.8739	15.7843
7.9397	15.9684
8.0049	16.1467
8.0696	16.3190
8.1337	16.4856
8.1972	16.6466
8.2600	16.8020
8.3223	16.9519
8.3839	17.0966
